MLSA_ID,CITY,ADDRESS,BEDS,BATHS,HALF_BATH,SQ_FT,STYLE,FLOORS,RECENT_PRICE,LAT,LONG,NEIGHBORHOOD
30660746,Kitchener,"912 River Birch Crt, Kitchener, ON",2,2,1,4722,Bungaloft,1,3500000,43.4117814,-80.4268289,Hidden Valley
30646332,Kitchener,"2200 Hidden Valley Cres, Kitchener, ON",6,5,0,6363,2 Storey,2,2390000,43.41203992,-80.4242221,Hidden Valley
30654738,Kitchener,"38 River Valley Drive Dr, Kitchener, ON",5,5,0,5466,2 1/2 Storey,2,1799900,43.41300029,-80.4317023,Trillium Industrial Park
30637661,Kitchener,"305 Joseph Schoerg Cres, Kitchener, ON",4,2,1,3450,2 Storey,2,1325000,43.40056429,-80.41330728,Pioneer Tower West
30644484,Kitchener,"455 Deer Ridge Dr, Kitchener, ON",4,4,0,3601,2 Storey,2,1299900,43.40353024,-80.41364681,Pioneer Tower West
30645606,Kitchener,"332 Terrace Wood Cres, Kitchener, ON",4,4,0,2400,Bungalow,1,1298000,43.40411309,-80.41226871,Pioneer Tower West
30652436,Kitchener,"256 Terrace Wood Cres, Kitchener, ON",5,3,1,3260,2 Storey,2,1288000,43.40459267,-80.41520793,Pioneer Tower West
30632798,Kitchener,"307 Terrace Wood Cres, Kitchener, ON",4,4,0,2853,Bungalow,1,1250000,43.40500849,-80.41256335,Pioneer Tower West
30654277,Kitchener,"72 Edgehill Dr, Kitchener, ON",4,4,0,3125,Bungalow,1,1200000,43.40366732,-80.38878669,Pioneer Tower West
30639883,Kitchener,"11 Langton Dr, Kitchener, ON",4,3,0,2300,Bungalow,1,1200000,43.40120964,-80.41328774,Pioneer Tower West
30680370,Kitchener,"257 Joseph Schoerg Cres, Kitchener, ON",4,3,1,2456,Bungalow,1,1150000,43.4008368,-80.4151366,Pioneer Tower West
30661602,Kitchener,"246 Joseph Schoerg Cres, Kitchener, ON",4,3,1,3001,2 Storey,2,1149000,43.401126,-80.415739,Pioneer Tower West
30617936,Kitchener,"530 Deer Ridge Dr, Kitchener, ON",2,2,0,2100,Bungalow,1,1100000,43.40468506,-80.41122339,Pioneer Tower West
30632539,Kitchener,"254 Joseph Schoerg Cres, Kitchener, ON",4,4,0,2928,2 Storey,2,1099800,43.40083792,-80.4154772,Pioneer Tower West
30654558,Kitchener,"7 Marianne Dorn Trail, Kitchener, ON",4,3,2,3262,2 Storey,2,1080000,43.39472119,-80.46157288,Brigadoon
30646439,Kitchener,"243 Evens Pond Cres, Kitchener, ON",4,4,0,3018,2 Storey,2,1079000,43.37896747,-80.44453367,Doon South
30638188,Kitchener,"213 Deer Ridge Dr, Kitchener, ON",4,2,1,3100,2 Storey,2,999900,43.40629668,-80.41101605,Pioneer Tower West
30619323,Kitchener,"263 Evens Pond Cres, Kitchener, ON",5,5,0,4289,2 Storey,2,999900,43.37900122,-80.44544989,Doon South
30672358,Kitchener,"553 Terrington Cres, Kitchener, ON",4,3,1,3580,2 Storey,2,999000,43.3764826,-80.4266811,Doon South
30663093,Kitchener,"240 Terrace Wood Cres, Kitchener, ON",4,4,0,3570,Bungaloft,1,999000,43.4042545,-80.4161777,Pioneer Tower West
30672165,Kitchener,"11 Jacob Gingrich Dr, Kitchener, ON",3,3,0,2000,Bungalow,1,998000,43.4017625,-80.4149604,Pioneer Tower West
30661497,Kitchener,"205 Deer Ridge Dr, Kitchener, ON",3,3,0,2224,Bungalow,1,975000,43.406329,-80.4102599,Pioneer Tower West
30642082,Kitchener,"48 Winifred St, Kitchener, ON",5,3,0,1852,Bungalow,1,968000,43.41027712,-80.40657687,Pioneer Tower West
30636499,Kitchener,"61 Winifred St, Kitchener, ON",4,2,2,2557,2 Storey,2,949900,43.40940479,-80.40703335,Pioneer Tower West
